X,Y,Name,description
30.360549,-2.069065,Kajevuba 32,
30.360701,-2.0691454,Kajevuba 18,
30.360516,-2.0698608,Kajevuba 14,
30.359789,-2.0690643,Kajevuba 6 EE,
30.359325,-2.0685447,Kajevuba 5 EE,
30.361461,-2.0672989,Kajevuba 101,
30.345125,-2.0695502,Bicaca drop off point,
30.337879,-2.0754874,Runzenze drop off point,
30.352927,-2.0659865,Kajevuba 81,
30.353577,-2.0666241,Kajevuba 83,
30.353481,-2.0672075,Kajevuba 94,
30.353575,-2.0672952,Kajevuba 84,
30.353608,-2.0679091,Kajevuba 86,
30.355337,-2.0673321,Kajevuba 97,
30.354585,-2.0691015,Kajevuba 98,
30.354166,-2.0696808,Kajevuba 85,Use non-rechargeable battery for radio
30.355908,-2.0685554,Kajevuba 51,
30.355646,-2.0686402,Kajevuba 53,
30.355877,-2.0686227,Kajevuba 95,
30.34585,-2.0674752,Bicaca 51,
30.360281,-2.075677,Kajevuba 93,
30.359186,-2.0718872,Kajevuba 99,
30.362129,-2.0706522,Kajevuba 20,
30.361076,-2.0696346,Kajevuba 50,
30.361425,-2.0694795,Kajevuba 100,
30.361202,-2.0692962,Kajevuba 88,
30.361345,-2.0690489,Kajevuba 33,
30.362441,-2.0686891,Kajevuba 89,
30.362684,-2.0685782,Kajevuba 90,
30.363693,-2.0683332,Kajevuba 91,
30.364061,-2.0659047,Kajevuba 17,
30.361913,-2.0682002,Kajevuba 9 EE,
30.360779,-2.0675619,Kajevuba 26,
30.360875,-2.0678297,Kajevuba 27,
30.360247,-2.0679821,Kajevuba 1 EE,
30.360107,-2.067835,Kajevuba 21,
30.359754,-2.0672212,Kajevuba 23,
30.359512,-2.0674748,Kajevuba 24,
30.359786,-2.0676497,Kajevuba 22,
30.359829,-2.0687879,Kajevuba 7 EE,
30.359746,-2.0690499,Kajevuba 92,
30.36003,-2.0690784,Kajevuba 8 EE,
30.361627,-2.0671103,Kajevuba 56,
30.361754,-2.0668831,Kajevuba 48,
30.361668,-2.0667005,Kajevuba 47,
30.362277,-2.0660562,Kajevuba 44,
30.363602,-2.0656193,Kajevuba 38,
30.364536,-2.0631097,Kajevuba 31,
30.364396,-2.0629716,Kajevuba 19,
30.363772,-2.0633305,Kajevuba 35,
30.363315,-2.0631114,Kajevuba 43,
30.363302,-2.0633305,Kajevuba 52,
30.362033,-2.0626155,Kajevuba 15,
30.361742,-2.0639601,Kajevuba 30,
30.362176,-2.0644583,Kajevuba 39,
30.361635,-2.0642854,Kajevuba 37,
30.361739,-2.0651525,Kajevuba 40,
30.362037,-2.0653898,Kajevuba 41,
30.361484,-2.0658944,Kajevuba 42,
30.361384,-2.0665068,Kajevuba 45,
30.360364,-2.0659289,Kajevuba 36,
30.361439,-2.0667947,Kajevuba 46,
30.360336,-2.0685004,Kajevuba 10 EE,
30.360008,-2.0681784,Kajevuba 3 EE,
30.359862,-2.0683306,Kajevuba 2 EE,
30.359601,-2.0683949,Kajevuba 4 EE⭐️,
30.358788,-2.0682659,Kajevuba 34,
30.346413,-2.0697123,Bicaca 79,
30.346473,-2.0698474,Bicaca 59,
30.346578,-2.0700223,Bicaca 80,
30.346683,-2.0701942,Bicaca 78,
30.346779,-2.0703737,Bicaca 85,
30.347136,-2.0707989,Bicaca 50,
30.347625,-2.0712369,Bicaca 69,
30.347895,-2.0713883,Bicaca 48,
30.348112,-2.0713531,Bicaca 62,
30.348254,-2.0712023,Bicaca 73,
30.348502,-2.0721482,Bicaca 63,
30.347696,-2.0718647,Bicaca 72,
30.34729,-2.0707128,Bicaca 71,
30.34686,-2.0711584,Bicaca 77,
30.346487,-2.0704491,Bicaca 86,
30.345611,-2.0698939,Bicaca 55,
30.345209,-2.0701158,Bicaca 54,
30.344887,-2.0720189,Bicaca 66,
30.344672,-2.0722269,Bicaca 58,
30.34423,-2.0717096,Bicaca 46,
30.344853,-2.0685195,Bicaca 6 EE - G1,? have light bulb oUT but they say not working
30.345222,-2.0683681,Bicaca 8 EE - G2,
30.345231,-2.068285,Bicaca 10 EE - G2,
30.344885,-2.0684592,Bicaca 7 EE - G1,"?owner has no electricity (solar panel), but the tenant rents solar panels independently"
30.344527,-2.068537,Bicaca 11 EE Grid 3 host,"The house facing road is under construction, might need to come from the left"
30.344511,-2.068602,Bicaca 12 EE - G3,
30.344612,-2.0687129,Bicaca 13,?owner has no electricity but shop tenant brought some lamps
30.344184,-2.0691974,Bicaca 17,? had some solar panel but not working
30.344015,-2.0690811,Bicaca 16,"? seems there is a light bulb at front, not sure if it's working. Apparently somebody gifted it to her but it is failing now"
30.343961,-2.0689796,Bicaca 15,
30.344014,-2.0688184,Bicaca 14,
30.344611,-2.0682133,Bicaca 19 EE - G3,"?seems they have a speaker and electricity,  seems to be working well"
30.344637,-2.0683148,Bicaca 18 EE - G3,"? a shop, and the owner has no electricity, only the shop tenant brought in solar panels"
30.344574,-2.0684287,Bicaca 20 EE - G3,
30.345288,-2.0687373,Bicaca 33,
30.345373,-2.0683483,Bicaca 38,
30.345468,-2.0681279,Bicaca 36,
30.34404,-2.0693267,Bicaca 42,
30.343905,-2.069587,Bicaca 43,
30.342195,-2.0706616,Runzenze 7*,Already have light
30.345722,-2.0715364,Bicaca 44,
30.345501,-2.0712151,Bicaca 39,
30.348268,-2.0713206,Bicaca 37,
30.345428,-2.0693414,Bicaca 34,
30.344471,-2.0709517,Bicaca 75,
30.345174,-2.0707249,Bicaca 74,
30.343655,-2.0714134,Bicaca 64,Already have lights
30.343404,-2.0711303,Bicaca 87,
30.34536,-2.0685527,Bicaca 35,
30.345079,-2.0688325,Bicaca 1,
30.344936,-2.0687139,Bicaca 3 EE Grid 1 host,
30.344984,-2.0687088,Bicaca 5 EE - G1,
30.344861,-2.0686261,Bicaca 4 EE G1,Installed solar panel (rent)
30.344894,-2.0689353,Bicaca 2,
30.345167,-2.0685189,Bicaca 9 EE Grid 2 Host ,
30.344837,-2.0682254,Bicaca 28 EE Grid 5 host,
30.344884,-2.067256,Bicaca 21 EE - G4,
30.344899,-2.0674996,Bicaca 22 EE -G4,
30.344902,-2.0676249,Bicaca 23 EE - G4,Have electricity
30.344847,-2.0678561,Bicaca 24 EE Grid 4 host ,
30.344847,-2.0679607,Bicaca 25 EE - G4,
30.344841,-2.0680032,Bicaca 26 EE - G5,
30.344836,-2.0680649,Bicaca 27 & 32 EE - G5,
30.344864,-2.0683208,Bicaca 29 EE - G5,
30.345238,-2.0683028,Bicaca 30 EE - G2,
30.345242,-2.0681878,Bicaca 31 EE - G2,
30.343402,-2.0665712,Bicaca 82,
30.343637,-2.0663259,Bicaca 56,
30.345023,-2.0657734,Bicaca 49,
30.345373,-2.0665065,Bicaca 88,
30.345784,-2.0661038,Bicaca 60,
30.345686,-2.0662944,Bicaca 84,
30.345919,-2.0666754,Bicaca 81,
30.3453,-2.0671264,Bicaca 57,
30.345482,-2.0672557,Bicaca 67,
30.346302,-2.0675954,Bicaca 76,
30.345532,-2.0680541,Bicaca 83,
30.345605,-2.0681681,Bicaca 61,
30.346163,-2.0693713,Bicaca 70,
